Semester: Fall 2023; Course: Course; Title: Title; Units: Units; Lec/Sec: Lec/Sec; Days: Days; Begin: Begin; End: End; Bldg/Room: Bldg/Room; Location: Location; Instructor(s): Instructor(s); 
Semester: Fall 2023; Course: 54151; Title: Costumes (3 units); Units: VAR; Lec/Sec: ; Days: S; Begin: 08:00AM; End: 11:00PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; 
Semester: Fall 2023; Course: 54151; Title: Stagecraft:; Units: VAR; Lec/Sec: ; Days: ; Begin: ; End: ; Bldg/Room: ; Location: ; 
Semester: Fall 2023; Course: 54151; Title: Lighting (3 units); Units: VAR; Lec/Sec: F1; Days: MTWRF; Begin: 06:30PM; End: 10:30PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; Instructor(s): Feather; 
Semester: Fall 2023; Course: 54151; Title: Lighting (3 units); Units: VAR; Lec/Sec: ; Days: TR; Begin: 03:30PM; End: 04:50PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; 
Semester: Fall 2023; Course: 54151; Title: Lighting (3 units); Units: VAR; Lec/Sec: ; Days: S; Begin: 08:00AM; End: 11:00PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; 
Semester: Fall 2023; Course: 54151; Title: Stagecraft:; Units: VAR; Lec/Sec: ; Days: ; Begin: ; End: ; Bldg/Room: ; Location: ; 
Semester: Fall 2023; Course: 54151; Title: Lighting (3 units); Units: VAR; Lec/Sec: F2; Days: MTWR; Begin: 03:30PM; End: 04:50PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; Instructor(s): Feather; 
Semester: Fall 2023; Course: 54151; Title: Lighting (3 units); Units: VAR; Lec/Sec: ; Days: MTWRF; Begin: 06:30PM; End: 10:30PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; 
Semester: Fall 2023; Course: 54151; Title: Lighting (3 units); Units: VAR; Lec/Sec: ; Days: S; Begin: 08:00AM; End: 11:00PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; 
Semester: Fall 2023; Course: 54151; Title: Stagecraft:; Units: VAR; Lec/Sec: ; Days: ; Begin: ; End: ; Bldg/Room: ; Location: ; 
Semester: Fall 2023; Course: 54151; Title: Sound (2 units); Units: VAR; Lec/Sec: G1; Days: MTWRF; Begin: 06:30PM; End: 10:30PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; Instructor(s): Brown; 
Semester: Fall 2023; Course: 54151; Title: Sound (2 units); Units: VAR; Lec/Sec: ; Days: T; Begin: 03:30PM; End: 04:50PM; Bldg/Room: PCA 103; Location: Pittsburgh, Pennsylvania; 
Semester: Fall 2023; Course: 54151; Title: Sound (2 units); Units: VAR; Lec/Sec: ; Days: S; Begin: 08:00AM; End: 11:00PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; 
Semester: Fall 2023; Course: 54151; Title: Stagecraft:; Units: VAR; Lec/Sec: ; Days: ; Begin: ; End: ; Bldg/Room: ; Location: ; 
Semester: Fall 2023; Course: 54151; Title: Sound (2 units); Units: VAR; Lec/Sec: G2; Days: MTWRF; Begin: 06:30PM; End: 10:30PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; Instructor(s): Brown; 
Semester: Fall 2023; Course: 54151; Title: Sound (2 units); Units: VAR; Lec/Sec: ; Days: T; Begin: 03:30PM; End: 04:50PM; Bldg/Room: PCA 103; Location: Pittsburgh, Pennsylvania; 
Semester: Fall 2023; Course: 54151; Title: Sound (2 units); Units: VAR; Lec/Sec: ; Days: S; Begin: 08:00AM; End: 11:00PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; 
Semester: Fall 2023; Course: 54151; Title: Stagecraft:; Units: VAR; Lec/Sec: ; Days: ; Begin: ; End: ; Bldg/Room: ; Location: ; 
Semester: Fall 2023; Course: 54151; Title: Video & Media (3 units); Units: VAR; Lec/Sec: H1; Days: MW; Begin: 03:30PM; End: 04:50PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; Instructor(s): Young; 
Semester: Fall 2023; Course: 54151; Title: Video & Media (3 units); Units: VAR; Lec/Sec: ; Days: MTWRF; Begin: 06:30PM; End: 10:30PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; 
Semester: Fall 2023; Course: 54151; Title: Video & Media (3 units); Units: VAR; Lec/Sec: ; Days: S; Begin: 08:00AM; End: 11:00PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; 
Semester: Fall 2023; Course: 54151; Title: Stagecraft:; Units: VAR; Lec/Sec: ; Days: ; Begin: ; End: ; Bldg/Room: ; Location: ; 
Semester: Fall 2023; Course: 54151; Title: Video & Media (3 units); Units: VAR; Lec/Sec: H2; Days: MTWR; Begin: 03:30PM; End: 04:50PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; Instructor(s): Young; 
Semester: Fall 2023; Course: 54151; Title: Video & Media (3 units); Units: VAR; Lec/Sec: ; Days: MTWRF; Begin: 06:30PM; End: 10:30PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; 
Semester: Fall 2023; Course: 54151; Title: Video & Media (3 units); Units: VAR; Lec/Sec: ; Days: S; Begin: 08:00AM; End: 11:00AM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; 
Semester: Fall 2023; Course: 54157; Title: Production Science; Units: 6.0; Lec/Sec: A; Days: MW; Begin: 02:00PM; End: 03:20PM; Bldg/Room: PCA 304; Location: Pittsburgh, Pennsylvania; Instructor(s): Hines; 
Semester: Fall 2023; Course: 54159; Title: Production Practicum:; Units: 6.0; Lec/Sec: ; Days: ; Begin: ; End: ; Bldg/Room: ; Location: ; 
Semester: Fall 2023; Course: 54159; Title: TBA; Units: 6.0; Lec/Sec: A; Days: MTWRF; Begin: 06:30PM; End: 10:20PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; Instructor(s): Holcomb, Sahoo; 
Semester: Fall 2023; Course: 54159; Title: TBA; Units: 6.0; Lec/Sec: ; Days: S; Begin: 11:00AM; End: 11:00PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; Instructor(s): ; 
Semester: Fall 2023; Course: 54159; Title: Production Practicum:; Units: 6.0; Lec/Sec: ; Days: ; Begin: ; End: ; Bldg/Room: ; Location: ; 
Semester: Fall 2023; Course: 54159; Title: TBA; Units: 6.0; Lec/Sec: B; Days: MTWRF; Begin: 06:30PM; End: 10:30PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; Instructor(s): Holcomb, Sahoo; 
Semester: Fall 2023; Course: 54159; Title: TBA; Units: 6.0; Lec/Sec: ; Days: S; Begin: 11:00AM; End: 11:00PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; Instructor(s): ; 
Semester: Fall 2023; Course: 54159; Title: Production Practicum:; Units: 6.0; Lec/Sec: ; Days: ; Begin: ; End: ; Bldg/Room: ; Location: ; 
Semester: Fall 2023; Course: 54159; Title: TBA; Units: 6.0; Lec/Sec: C; Days: MTWRF; Begin: 06:30PM; End: 10:30PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; Instructor(s): Holcomb, Sahoo; 
Semester: Fall 2023; Course: 54159; Title: TBA; Units: 6.0; Lec/Sec: ; Days: S; Begin: 11:00AM; End: 11:00PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; Instructor(s): ; 
Semester: Fall 2023; Course: 54163; Title: Production for Non Majors; Units: 6.0; Lec/Sec: A; Days: MTWRF; Begin: 06:30PM; End: 10:30PM; Bldg/Room: PCA 107; Location: Pittsburgh, Pennsylvania; Instructor(s): Sahoo, Holcomb; 
Semester: Fall 2023; Course: 54163; Title: Production for Non Majors; Units: 6.0; Lec/Sec: ; Days: S; Begin: 11:00AM; End: 02:00PM; Bldg/Room: PCA 107; Location: Pittsburgh, Pennsylvania; Instructor(s): ; 
Semester: Fall 2023; Course: 54167; Title: Acting for Directors I; Units: 10.0; Lec/Sec: A; Days: MWF; Begin: 09:00AM; End: 11:20AM; Bldg/Room: PCA 321; Location: Pittsburgh, Pennsylvania; Instructor(s): Smith; 
Semester: Fall 2023; Course: 54167; Title: Acting for Directors I; Units: 10.0; Lec/Sec: B; Days: MWF; Begin: 09:00AM; End: 11:20AM; Bldg/Room: PCA 318; Location: Pittsburgh, Pennsylvania; Instructor(s): Walker-Rhoze; 
Semester: Fall 2023; Course: 54167; Title: Acting for Directors I; Units: 10.0; Lec/Sec: C; Days: MWF; Begin: 09:00AM; End: 11:20AM; Bldg/Room: PCA 314; Location: Pittsburgh, Pennsylvania; Instructor(s): Rivera Lebron; 
Semester: Fall 2023; Course: 54169; Title: Studiocraft 1; Units: 13.0; Lec/Sec: A; Days: MWF; Begin: 09:00AM; End: 10:50AM; Bldg/Room: PCA 304; Location: Pittsburgh, Pennsylvania; Instructor(s): Zamborsky, Block; 
Semester: Fall 2023; Course: 54171; Title: Basic Design 1; Units: 6.0; Lec/Sec: A; Days: TR; Begin: 09:30AM; End: 11:50AM; Bldg/Room: PCA 304; Location: Pittsburgh, Pennsylvania; Instructor(s): Tsu, Gajic; 
Semester: Fall 2023; Course: 54171; Title: Basic Design 1; Units: 6.0; Lec/Sec: ; Days: TR; Begin: 09:30AM; End: 11:50AM; Bldg/Room: PCA 305; Location: Pittsburgh, Pennsylvania; Instructor(s): ; 
Semester: Fall 2023; Course: 54175; Title: Conservatory Hour; Units: 1.0; Lec/Sec: A1; Days: M; Begin: 05:00PM; End: 05:50PM; Bldg/Room: PCA 114; Location: Pittsburgh, Pennsylvania; Instructor(s): Good, Young; 
Semester: Fall 2023; Course: 54177; Title: Foundations of Drama I; Units: 6.0; Lec/Sec: A; Days: TR; Begin: 09:00AM; End: 10:20AM; Bldg/Room: PH 126A; Location: Pittsburgh, Pennsylvania; Instructor(s): Prendergast; 
Semester: Fall 2023; Course: 54177; Title: Foundations of Drama I; Units: 6.0; Lec/Sec: B; Days: TR; Begin: 02:00PM; End: 03:20PM; Bldg/Room: WEH 5304; Location: Pittsburgh, Pennsylvania; Instructor(s): Prendergast; 
Semester: Fall 2023; Course: 54183; Title: Documentary Theater; Units: 9.0; Lec/Sec: A; Days: TR; Begin: 11:00AM; End: 12:20PM; Bldg/Room: PH A20; Location: Pittsburgh, Pennsylvania; Instructor(s): Miller, Thoni; 
Semester: Fall 2023; Course: 54187; Title: Writing the Adaptation for Stage and Screen; Units: 9.0; Lec/Sec: A; Days: TR; Begin: 11:00AM; End: 12:20PM; Bldg/Room: PH A19C; Location: Pittsburgh, Pennsylvania; Instructor(s): Swenson, Kirk; 
Semester: Fall 2023; Course: 54191; Title: Acting for Non-Majors; Units: 9.0; Lec/Sec: A; Days: MW; Begin: 05:00PM; End: 06:20PM; Bldg/Room: PCA 115; Location: Pittsburgh, Pennsylvania; Instructor(s): Swierc; 
Semester: Fall 2023; Course: 54191; Title: Acting for Non-Majors; Units: 9.0; Lec/Sec: B; Days: MW; Begin: 05:00PM; End: 06:20PM; Bldg/Room: PCA 313; Location: Pittsburgh, Pennsylvania; Instructor(s): Pazos; 
Semester: Fall 2023; Course: 54195; Title: Creative and Dramatic Writing for Engineers; Units: 9.0; Lec/Sec: A; Days: TR; Begin: 03:30PM; End: 04:50PM; Bldg/Room: PH 125C; Location: Pittsburgh, Pennsylvania; Instructor(s): Suarez-Pena; 
Semester: Fall 2023; Course: 54196; Title: Harvesting Personal Narratives: A Writing Workshop; Units: 9.0; Lec/Sec: A; Days: TR; Begin: 11:00AM; End: 12:20PM; Bldg/Room: PH A19D; Location: Pittsburgh, Pennsylvania; Instructor(s): Goldberg, Seitz; 
Semester: Fall 2023; Course: 54200; Title: Dramaturgy Forum; Units: 1.0; Lec/Sec: A; Days: F; Begin: 04:00PM; End: 04:50PM; Bldg/Room: PH 126A; Location: Pittsburgh, Pennsylvania; Instructor(s): Holmes, Zackria, Kuhn; 
Semester: Fall 2023; Course: 54201; Title: Acting II; Units: 12.0; Lec/Sec: A; Days: MW; Begin: 01:00PM; End: 03:20PM; Bldg/Room: PCA 321; Location: Pittsburgh, Pennsylvania; Instructor(s): Smith; 
Semester: Fall 2023; Course: 54201; Title: Acting II; Units: 12.0; Lec/Sec: ; Days: F; Begin: 01:30PM; End: 03:50PM; Bldg/Room: PCA 321; Location: Pittsburgh, Pennsylvania; 
Semester: Fall 2023; Course: 54201; Title: Acting II; Units: 12.0; Lec/Sec: B; Days: MW; Begin: 01:00PM; End: 03:20PM; Bldg/Room: PCA 318; Location: Pittsburgh, Pennsylvania; Instructor(s): Walker-Rhoze; 
Semester: Fall 2023; Course: 54201; Title: Acting II; Units: 12.0; Lec/Sec: ; Days: F; Begin: 01:30PM; End: 03:50PM; Bldg/Room: PCA 318; Location: Pittsburgh, Pennsylvania; 
Semester: Fall 2023; Course: 54201; Title: Acting II; Units: 12.0; Lec/Sec: C; Days: MW; Begin: 01:00PM; End: 03:20PM; Bldg/Room: PCA 314; Location: Pittsburgh, Pennsylvania; Instructor(s): Rivera Lebron; 
Semester: Fall 2023; Course: 54201; Title: Acting II; Units: 12.0; Lec/Sec: ; Days: F; Begin: 01:30PM; End: 03:50PM; Bldg/Room: PCA 314; Location: Pittsburgh, Pennsylvania; 
Semester: Fall 2023; Course: 54203; Title: Voice and Speech II; Units: 4.0; Lec/Sec: A; Days: MW; Begin: 09:00AM; End: 10:20AM; Bldg/Room: PCA A35; Location: Pittsburgh, Pennsylvania; Instructor(s): Logan; 
Semester: Fall 2023; Course: 54203; Title: Voice and Speech II; Units: 4.0; Lec/Sec: B; Days: MW; Begin: 10:30AM; End: 11:50AM; Bldg/Room: PCA A35; Location: Pittsburgh, Pennsylvania; Instructor(s): Logan; 
Semester: Fall 2023; Course: 54205; Title: Dance II: Pillars to Build Dance Technique; Units: 3.0; Lec/Sec: A; Days: TR; Begin: 09:00AM; End: 10:20AM; Bldg/Room: PCA 306; Location: Pittsburgh, Pennsylvania; Instructor(s): Caton; 
Semester: Fall 2023; Course: 54205; Title: Dance II: Pillars to Build Dance Technique; Units: 3.0; Lec/Sec: B; Days: TR; Begin: 09:00AM; End: 10:20AM; Bldg/Room: PCA 313; Location: Pittsburgh, Pennsylvania; Instructor(s): Conte; 
Semester: Fall 2023; Course: 54207; Title: Movement II; Units: 4.0; Lec/Sec: A; Days: MW; Begin: 09:00AM; End: 10:20AM; Bldg/Room: PCA 313; Location: Pittsburgh, Pennsylvania; Instructor(s): Warman; 
Semester: Fall 2023; Course: 54207; Title: Movement II; Units: 4.0; Lec/Sec: B; Days: MW; Begin: 10:30AM; End: 11:50AM; Bldg/Room: PCA 313; Location: Pittsburgh, Pennsylvania; Instructor(s): Warman; 
Semester: Fall 2023; Course: 54209; Title: Voice and Speech II: Practicums; Units: 3.0; Lec/Sec: A; Days: F; Begin: 09:00AM; End: 10:20AM; Bldg/Room: PCA A35; Location: Pittsburgh, Pennsylvania; Instructor(s): Stewart; 
Semester: Fall 2023; Course: 54209; Title: Voice and Speech II: Practicums; Units: 3.0; Lec/Sec: B; Days: F; Begin: 10:30AM; End: 11:50AM; Bldg/Room: PCA A35; Location: Pittsburgh, Pennsylvania; Instructor(s): Stewart; 
Semester: Fall 2023; Course: 54211; Title: Actor Dance II; Units: 3.0; Lec/Sec: A; Days: TR; Begin: 01:30PM; End: 02:50PM; Bldg/Room: PCA 306; Location: Pittsburgh, Pennsylvania; Instructor(s): Caton; 
Semester: Fall 2023; Course: 54213; Title: Singing for Actors II; Units: 3.0; Lec/Sec: A; Days: MW; Begin: 03:30PM; End: 04:20PM; Bldg/Room: PCA 321; Location: Pittsburgh, Pennsylvania; Instructor(s): Reyes-Mir; 
Semester: Fall 2023; Course: 54217; Title: Jazz II; Units: 2.0; Lec/Sec: A; Days: M; Begin: 04:30PM; End: 05:50PM; Bldg/Room: PCA 306; Location: Pittsburgh, Pennsylvania; Instructor(s): Cousin; 
Semester: Fall 2023; Course: 54217; Title: Jazz II; Units: 2.0; Lec/Sec: B; Days: W; Begin: 04:30PM; End: 05:50PM; Bldg/Room: PCA 306; Location: Pittsburgh, Pennsylvania; Instructor(s): Cousin; 
Semester: Fall 2023; Course: 54219; Title: Special Topics: Music Theater History and Repertoire; Units: 6.0; Lec/Sec: A; Days: TR; Begin: 03:30PM; End: 04:50PM; Bldg/Room: PCA 313; Location: Pittsburgh, Pennsylvania; Instructor(s): Olmstead, Benack; 
Semester: Fall 2023; Course: 54221; Title: Directing II: In the Studio; Units: 9.0; Lec/Sec: A; Days: TR; Begin: 10:00AM; End: 12:20PM; Bldg/Room: PCA 314; Location: Pittsburgh, Pennsylvania; Instructor(s): Mansoor; 
Semester: Fall 2023; Course: 54223; Title: Tap II - Rhythmic Technique/Foundational to Complex; Units: 2.0; Lec/Sec: A; Days: T; Begin: 12:30PM; End: 01:20PM; Bldg/Room: PCA 306; Location: Pittsburgh, Pennsylvania; Instructor(s): Conte; 
Semester: Fall 2023; Course: 54223; Title: Tap II - Rhythmic Technique/Foundational to Complex; Units: 2.0; Lec/Sec: B; Days: F; Begin: 12:30PM; End: 01:20PM; Bldg/Room: PCA 306; Location: Pittsburgh, Pennsylvania; Instructor(s): Conte; 
Semester: Fall 2023; Course: 54231; Title: Design for the Stage; Units: 6.0; Lec/Sec: A; Days: TR; Begin: 03:30PM; End: 04:50PM; Bldg/Room: PCA 305; Location: Pittsburgh, Pennsylvania; Instructor(s): Eshelman, Block; 
Semester: Fall 2023; Course: 54231; Title: Design for the Stage; Units: 6.0; Lec/Sec: ; Days: TR; Begin: 03:30PM; End: 04:50PM; Bldg/Room: PCA 307; Location: Pittsburgh, Pennsylvania; Instructor(s): ; 
Semester: Fall 2023; Course: 54232; Title: Design for the Stage: Lighting; Units: 4.0; Lec/Sec: A; Days: M; Begin: 11:50AM; End: 02:20PM; Bldg/Room: PCA 211; Location: Pittsburgh, Pennsylvania; Instructor(s): Stebbins; 
Semester: Fall 2023; Course: 54232; Title: Design for the Stage: Lighting; Units: 4.0; Lec/Sec: B; Days: M; Begin: 03:00PM; End: 05:20PM; Bldg/Room: PCA 211; Location: Pittsburgh, Pennsylvania; Instructor(s): Stebbins; 
Semester: Fall 2023; Course: 54233; Title: Acting For Directors II; Units: 12.0; Lec/Sec: A; Days: MW; Begin: 01:00PM; End: 03:20PM; Bldg/Room: PCA 321; Location: Pittsburgh, Pennsylvania; Instructor(s): Smith; 
Semester: Fall 2023; Course: 54233; Title: Acting For Directors II; Units: 12.0; Lec/Sec: ; Days: F; Begin: 01:30PM; End: 03:50PM; Bldg/Room: PCA 321; Location: Pittsburgh, Pennsylvania; 
Semester: Fall 2023; Course: 54233; Title: Acting For Directors II; Units: 12.0; Lec/Sec: B; Days: MW; Begin: 01:00PM; End: 03:20PM; Bldg/Room: PCA 318; Location: Pittsburgh, Pennsylvania; Instructor(s): Walker-Rhoze; 
Semester: Fall 2023; Course: 54233; Title: Acting For Directors II; Units: 12.0; Lec/Sec: ; Days: F; Begin: 01:30PM; End: 03:50PM; Bldg/Room: PCA 318; Location: Pittsburgh, Pennsylvania; 
Semester: Fall 2023; Course: 54233; Title: Acting For Directors II; Units: 12.0; Lec/Sec: C; Days: MW; Begin: 01:00PM; End: 03:20PM; Bldg/Room: PCA 314; Location: Pittsburgh, Pennsylvania; Instructor(s): Rivera Lebron; 
Semester: Fall 2023; Course: 54233; Title: Acting For Directors II; Units: 12.0; Lec/Sec: ; Days: F; Begin: 01:30PM; End: 03:50PM; Bldg/Room: PCA 314; Location: Pittsburgh, Pennsylvania; 
Semester: Fall 2023; Course: 54237; Title: Scenic Painting I; Units: 6.0; Lec/Sec: A; Days: F; Begin: 10:00AM; End: 11:50AM; Bldg/Room: PCA 107; Location: Pittsburgh, Pennsylvania; Instructor(s): Zamborsky; 
Semester: Fall 2023; Course: 54241; Title: Dramaturgy 5: Dramaturgy in Translation; Units: 9.0; Lec/Sec: A; Days: TR; Begin: 09:30AM; End: 10:50AM; Bldg/Room: PH A21A; Location: Pittsburgh, Pennsylvania; Instructor(s): Good; 
Semester: Fall 2023; Course: 54245; Title: Who Wore What: When, Where, and Why; Units: 6.0; Lec/Sec: A; Days: MW; Begin: 03:30PM; End: 04:50PM; Bldg/Room: PCA 305; Location: Pittsburgh, Pennsylvania; Instructor(s): Brownlee; 
Semester: Fall 2023; Course: 54247; Title: Dramaturgy 6: In Company; Units: 9.0; Lec/Sec: A; Days: F; Begin: 10:00AM; End: 11:50AM; Bldg/Room: PH A20; Location: Pittsburgh, Pennsylvania; Instructor(s): Young, Good; 
Semester: Fall 2023; Course: 54249; Title: Stagecraft II; Units: 14.0; Lec/Sec: A; Days: W; Begin: 01:00PM; End: 03:50PM; Bldg/Room: PCA 107; Location: Pittsburgh, Pennsylvania; Instructor(s): Hines, Brown; 
Semester: Fall 2023; Course: 54254; Title: New Play Development; Units: 6.0; Lec/Sec: A2; Days: MW; Begin: 12:30PM; End: 01:50PM; Bldg/Room: PCA A41; Location: Pittsburgh, Pennsylvania; Instructor(s): Young; 
Semester: Fall 2023; Course: 54256; Title: Dramaturgy 3: New Play Dramaturgy; Units: 9.0; Lec/Sec: A; Days: TR; Begin: 09:30AM; End: 10:50AM; Bldg/Room: WEH 8427; Location: Pittsburgh, Pennsylvania; Instructor(s): Young; 
Semester: Fall 2023; Course: 54264; Title: Welding; Units: 4.0; Lec/Sec: A; Days: W; Begin: 10:00AM; End: 11:50AM; Bldg/Room: PCA 107; Location: Pittsburgh, Pennsylvania; Instructor(s): Carter; 
Semester: Fall 2023; Course: 54266; Title: Stage Management: Cue Lab; Units: 4.0; Lec/Sec: A; Days: WR; Begin: 09:00AM; End: 11:50AM; Bldg/Room: PCA 115; Location: Pittsburgh, Pennsylvania; Instructor(s): Shackleford; 
Semester: Fall 2023; Course: 54267; Title: Conceptual Sound Design; Units: 9.0; Lec/Sec: A; Days: W; Begin: 01:00PM; End: 03:50PM; Bldg/Room: PCA 210; Location: Pittsburgh, Pennsylvania; Instructor(s): Pino; 
Semester: Fall 2023; Course: 54271; Title: Technical Management; Units: 6.0; Lec/Sec: A; Days: MW; Begin: 09:30AM; End: 10:50AM; Bldg/Room: PCA 307; Location: Pittsburgh, Pennsylvania; Instructor(s): Wei; 
Semester: Fall 2023; Course: 54273; Title: Technical Direction I; Units: 6.0; Lec/Sec: A; Days: MW; Begin: 02:00PM; End: 03:20PM; Bldg/Room: PCA 209; Location: Pittsburgh, Pennsylvania; Instructor(s): Boevers; 
Semester: Fall 2023; Course: 54274; Title: Seminar in Costume Management; Units: 4.0; Lec/Sec: A2; Days: MW; Begin: 12:30PM; End: 01:50PM; Bldg/Room: PCA 305; Location: Pittsburgh, Pennsylvania; Instructor(s): Lager; 
Semester: Fall 2023; Course: 54281; Title: Foundations of Drama II; Units: 6.0; Lec/Sec: A; Days: TR; Begin: 09:30AM; End: 10:50AM; Bldg/Room: PH A21; Location: Pittsburgh, Pennsylvania; Instructor(s): Olmstead; 
Semester: Fall 2023; Course: 54281; Title: Foundations of Drama II; Units: 6.0; Lec/Sec: B; Days: TR; Begin: 02:00PM; End: 03:20PM; Bldg/Room: WEH 5328; Location: Pittsburgh, Pennsylvania; Instructor(s): Olmstead; 
Semester: Fall 2023; Course: 54284; Title: Fundamentals of Directing; Units: 6.0; Lec/Sec: A; Days: F; Begin: 01:00PM; End: 03:50PM; Bldg/Room: PCA 118; Location: Pittsburgh, Pennsylvania; Instructor(s): Roth; 
Semester: Fall 2023; Course: 54285; Title: Alexander Technique Tutorials; Units: 1.5; Lec/Sec: A; Days: TBA; Begin: ; End: ; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; Instructor(s): Sapa; 
Semester: Fall 2023; Course: 54295; Title: Advanced Fabrication 2; Units: 6.0; Lec/Sec: A; Days: MW; Begin: 12:30PM; End: 01:50PM; Bldg/Room: PCA 107; Location: Pittsburgh, Pennsylvania; Instructor(s): Carter; 
Semester: Fall 2023; Course: 54301; Title: Acting III:; Units: 3,4,6,9; Lec/Sec: ; Days: ; Begin: ; End: ; Bldg/Room: ; Location: ; 
Semester: Fall 2023; Course: 54301; Title: JPP Project 1: Love Labor's; Units: 3,4,6,9; Lec/Sec: A1; Days: MTWRF; Begin: 06:30PM; End: 10:30PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; Instructor(s): Logan; 
Semester: Fall 2023; Course: 54301; Title: JPP Project 1: Love Labor's; Units: 3,4,6,9; Lec/Sec: ; Days: TR; Begin: 01:30PM; End: 04:20PM; Bldg/Room: PCA 321; Location: Pittsburgh, Pennsylvania; 
Semester: Fall 2023; Course: 54301; Title: Acting III:; Units: 3,4,6,9; Lec/Sec: ; Days: ; Begin: ; End: ; Bldg/Room: ; Location: ; 
Semester: Fall 2023; Course: 54301; Title: Greeks; Units: 3,4,6,9; Lec/Sec: A2; Days: TR; Begin: 01:30PM; End: 04:20PM; Bldg/Room: PCA 321; Location: Pittsburgh, Pennsylvania; Instructor(s): McKay; 
Semester: Fall 2023; Course: 54301; Title: Acting III:; Units: 3,4,6,9; Lec/Sec: ; Days: ; Begin: ; End: ; Bldg/Room: ; Location: ; 
Semester: Fall 2023; Course: 54301; Title: JPP Project 2: Chalk Circle; Units: 3,4,6,9; Lec/Sec: B1; Days: MTWRF; Begin: 06:30PM; End: 10:30PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; Instructor(s): McKay; 
Semester: Fall 2023; Course: 54301; Title: JPP Project 2: Chalk Circle; Units: 3,4,6,9; Lec/Sec: ; Days: TR; Begin: 01:30PM; End: 04:20PM; Bldg/Room: PCA 318; Location: Pittsburgh, Pennsylvania; 
Semester: Fall 2023; Course: 54301; Title: Acting III:; Units: 3,4,6,9; Lec/Sec: ; Days: ; Begin: ; End: ; Bldg/Room: ; Location: ; 
Semester: Fall 2023; Course: 54301; Title: Actor As Artist; Units: 3,4,6,9; Lec/Sec: B2; Days: TR; Begin: 01:30PM; End: 04:20PM; Bldg/Room: PCA 318; Location: Pittsburgh, Pennsylvania; Instructor(s): Stewart; 
Semester: Fall 2023; Course: 54301; Title: Acting III:; Units: 3,4,6,9; Lec/Sec: ; Days: ; Begin: ; End: ; Bldg/Room: ; Location: ; 
Semester: Fall 2023; Course: 54301; Title: JPP Project 3: Myth & Hymns; Units: 3,4,6,9; Lec/Sec: C1; Days: MTWRF; Begin: 06:30PM; End: 10:30PM; Bldg/Room: TBA; Location: Pittsburgh, Pennsylvania; Instructor(s): Walker-Rhoze; 
Semester: Fall 2023; Course: 54301; Title: JPP Project 3: Myth & Hymns; Units: 3,4,6,9; Lec/Sec: ; Days: TR; Begin: 01:30PM; End: 04:20PM; Bldg/Room: PCA 314; Location: Pittsburgh, Pennsylvania; 
Semester: Fall 2023; Course: 54301; Title: Acting III:; Units: 3,4,6,9; Lec/Sec: ; Days: ; Begin: ; End: ; Bldg/Room: ; Location: ; 
Semester: Fall 2023; Course: 54301; Title: Culture Class; Units: 3,4,6,9; Lec/Sec: C2; Days: TR; Begin: 01:30PM; End: 04:20PM; Bldg/Room: PCA 314; Location: Pittsburgh, Pennsylvania; Instructor(s): Haden; 
Semester: Fall 2023; Course: 54305; Title: Voice for the Stage III; Units: 5.0; Lec/Sec: A; Days: MW; Begin: 03:00PM; End: 04:00PM; Bldg/Room: PCA A35; Location: Pittsburgh, Pennsylvania; Instructor(s): Stewart; 
Semester: Fall 2023; Course: 54305; Title: Voice for the Stage III; Units: 5.0; Lec/Sec: B; Days: MW; Begin: 04:10PM; End: 05:10PM; Bldg/Room: PCA A35; Location: Pittsburgh, Pennsylvania; Instructor(s): Stewart; 
